Model,MSO2024
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.01,,,
Sample Interval,8e-07,,,
Filter Frequency,2e+08,,,
Record Length,125000,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,1,,1,
Label,,,,
TIME,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect
-2.96824e-02,0,-0.04,3.3,3.26
-2.96816e-02,0,0.08,3.3,3.38
-2.96808e-02,0,-0.04,3.34,3.3
-2.96800e-02,0,0.08,3.34,3.38
-2.96792e-02,0.04,-0.04,3.3,3.26
-2.96784e-02,0,0.08,3.34,3.38
-2.96776e-02,0,-0.04,3.3,3.26
-2.96768e-02,0,0.08,3.3,3.38
-2.96760e-02,0,-0.04,3.3,3.26
-2.96752e-02,0.04,0.08,3.3,3.38
-2.96744e-02,0,-0.04,3.3,3.3
-2.96736e-02,0.04,0.08,3.3,3.38
-2.96728e-02,0,-0.04,3.3,3.26
-2.96720e-02,0,0.08,3.3,3.38
-2.96712e-02,0,-0.04,3.3,3.26
-2.96704e-02,0.04,0.08,3.34,3.38
-2.96696e-02,0,-0.04,3.34,3.26
-2.96688e-02,0,0.08,3.3,3.38
-2.96680e-02,0,-0.04,3.3,3.26
-2.96672e-02,0,0.08,3.34,3.38
-2.96664e-02,0,-0.04,3.3,3.26
-2.96656e-02,0,0.08,3.3,3.38
-2.96648e-02,0,-0.04,3.3,3.26
-2.96640e-02,0,0.08,3.34,3.38
-2.96632e-02,0,-0.04,3.34,3.3
-2.96624e-02,0,0.08,3.3,3.38
-2.96616e-02,0,-0.04,3.34,3.26
-2.96608e-02,0,0.08,3.34,3.38
-2.96600e-02,0,-0.04,3.34,3.26
-2.96592e-02,0,0.08,3.3,3.38
-2.96584e-02,0,-0.04,3.34,3.3
-2.96576e-02,0,0.08,3.34,3.38
-2.96568e-02,0,-0.04,3.3,3.26
-2.96560e-02,0,0.08,3.34,3.38
-2.96552e-02,0,-0.04,3.3,3.26
-2.96544e-02,0.04,0.08,3.3,3.38
-2.96536e-02,0,-0.04,3.3,3.26
-2.96528e-02,0,0.08,3.34,3.38
-2.96520e-02,0,-0.04,3.3,3.3
-2.96512e-02,0,0.08,3.34,3.38
-2.96504e-02,0,-0.04,3.34,3.3
-2.96496e-02,0,0.08,3.3,3.38
-2.96488e-02,0,-0.04,3.34,3.26
-2.96480e-02,0.04,0.08,3.34,3.38
-2.96472e-02,0,-0.04,3.34,3.26
-2.96464e-02,0,0.08,3.34,3.38
-2.96456e-02,0,-0.04,3.34,3.3
-2.96448e-02,0,0.08,3.34,3.38
-2.96440e-02,0.04,-0.04,3.3,3.26
-2.96432e-02,0,0.08,3.3,3.38
